Row,id10580,id10581,id10583,id15697,id5541,id5579,id5580,id5581,id5590,id5592,id5594,id5595,id5597,id5598,id5602,id5604,id5605,id5606,id5608,id5609,id5610,id5612,id5614,id5619,id5621
id10580,1,NaN,1,1,NaN,1,1,0,1,1,1,1,0,1,1,1,1,1,NaN,1,0,1,1,1,NaN
id10581,0.5,0.5,0,1,1,0,0.5,0,0.666666666666667,0,0,0.5,0.666666666666667,0,0,0.666666666666667,0,0,0.5,0,0,0,0.5,0,0.5
id10582,NaN,NaN,NaN,1,NaN,1,1,1,1,NaN,NaN,NaN,1,NaN,NaN,1,1,NaN,1,NaN,NaN,NaN,1,NaN,NaN
id10583,0.5,0.5,0.5,NaN,1,0,0,0,0.5,0.666666666666667,0,0.5,0.5,0.5,0,0.666666666666667,0,0,0.5,0,0,0,0.5,0,0
id10585,1,1,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,1,NaN,1,1,NaN,1,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN
id11402,0,NaN,NaN,0,NaN,NaN,NaN,NaN,1,NaN,0,NaN,0,1,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN
id12222,NaN,NaN,0,0.25,1,0.75,0.5,1,1,1,NaN,1,1,0.25,1,1,1,1,1,1,NaN,1,1,NaN,NaN
id14193,1,1,NaN,NaN,0,NaN,1,NaN,NaN,NaN,NaN,1,1,NaN,NaN,1,NaN,NaN,NaN,1,NaN,0,NaN,1,NaN
id14765,NaN,NaN,NaN,1,NaN,1,1,1,1,NaN,NaN,NaN,0.5,NaN,NaN,1,1,NaN,1,NaN,0,NaN,NaN,NaN,NaN
id15697,1,NaN,1,1,NaN,0.75,0.666666666666667,1,1,1,NaN,1,1,1,1,1,1,1,1,1,NaN,1,1,0,1
id16531,1,NaN,1,1,NaN,1,0,1,NaN,1,1,NaN,NaN,1,1,NaN,1,NaN,1,0,NaN,NaN,1,NaN,NaN
id16532,1,0.5,NaN,1,1,1,1,1,0.666666666666667,NaN,1,NaN,1,1,1,1,1,NaN,1,1,0.5,0.5,1,NaN,1
id16533,NaN,1,NaN,1,NaN,1,1,NaN,0.666666666666667,NaN,1,1,1,1,NaN,1,1,NaN,1,1,1,1,NaN,NaN,1
id16534,1,NaN,NaN,NaN,NaN,NaN,1,NaN,1,NaN,NaN,1,1,NaN,NaN,1,1,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN
id16535,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,0,1,1,NaN,NaN,NaN,NaN,NaN,1,NaN,1,1,1,1,1,NaN,NaN
id16536,1,NaN,1,1,NaN,1,1,1,NaN,1,1,1,NaN,1,1,NaN,1,1,1,1,NaN,1,NaN,NaN,NaN
id16586,1,NaN,NaN,1,NaN,NaN,1,NaN,NaN,NaN,1,1,1,1,NaN,NaN,1,NaN,1,NaN,NaN,NaN,NaN,0,1
id5541,0,0.666666666666667,0,0,1,0.333333333333333,0.5,0,0.5,0.5,0.666666666666667,0.5,0.5,0,0.666666666666667,0.75,0.5,0.5,0.5,0.5,0,0.5,0.666666666666667,1,0.666666666666667
id5579,NaN,NaN,1,NaN,NaN,1,1,NaN,1,1,NaN,0.666666666666667,1,1,1,1,NaN,NaN,1,0.8,1,NaN,1,NaN,NaN
id5580,NaN,NaN,NaN,0,NaN,0.6,1,NaN,NaN,1,NaN,1,NaN,0.666666666666667,1,NaN,1,1,1,1,NaN,1,1,NaN,NaN
id5581,1,1,NaN,1,NaN,1,1,1,1,NaN,1,1,1,1,1,NaN,1,NaN,1,NaN,1,1,1,0,1
id5583,1,1,NaN,1,NaN,0,1,0,1,1,NaN,1,1,NaN,1,1,1,NaN,1,NaN,NaN,NaN,NaN,1,NaN
id5590,NaN,NaN,NaN,1,1,NaN,NaN,NaN,1,NaN,1,NaN,0.5,NaN,NaN,1,1,NaN,1,NaN,0,NaN,1,1,1
id5592,0.8,0.5,0.625,0.538461538461538,1,0.727272727272727,0.8,0.75,0.5,0.928571428571429,0.75,0.833333333333333,0.666666666666667,0.733333333333333,0.888888888888889,0.75,0.833333333333333,0.888888888888889,0.5,0.625,0,0.916666666666667,0.875,0,0
id5594,1,1,NaN,NaN,1,NaN,NaN,NaN,1,NaN,1,NaN,1,1,1,NaN,1,NaN,1,1,1,NaN,NaN,NaN,NaN
id5595,0.75,0.666666666666667,1,NaN,NaN,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,0.5,1,1,1
id5597,1,1,NaN,1,1,1,1,1,1,NaN,NaN,1,1,NaN,NaN,1,1,NaN,1,1,1,NaN,NaN,0.5,NaN
id5598,1,1,0.5,0.8,1,0.8,0.75,1,NaN,1,1,NaN,1,1,1,1,1,1,0.666666666666667,0.666666666666667,1,1,1,NaN,NaN
id5602,0.5,0,0,0.75,1,0.833333333333333,0.6,0.75,0.666666666666667,0,0.5,0.5,0.5,0.666666666666667,0.75,0,0.8,0,0.6,0.666666666666667,0,0,0.75,0,0
id5604,0.5,0.888888888888889,0,0,1,0,0.666666666666667,0,0.714285714285714,0,0.333333333333333,0.666666666666667,0.727272727272727,0.5,0,0.923076923076923,0.5,0,0.5,0.666666666666667,0.6,0.6,0.5,0,0
id5605,1,1,NaN,1,NaN,NaN,1,NaN,0.8,NaN,1,NaN,1,NaN,NaN,1,1,NaN,1,1,0.75,1,1,NaN,1
id5606,0.5,0.5,0.666666666666667,1,NaN,0.666666666666667,0,0.5,0,0.666666666666667,0,0.5,0.666666666666667,0.666666666666667,0.5,0.5,0.666666666666667,0.666666666666667,0.5,0.5,0.5,0.666666666666667,0,0,0
id5608,0,1,NaN,1,NaN,NaN,NaN,NaN,1,1,0.5,NaN,1,1,NaN,NaN,1,NaN,1,1,1,1,1,NaN,1
id5609,0.5,0.5,0,NaN,1,0,0,0,0.5,0,0,0.5,0.666666666666667,0,0,0.5,0,0,0,0.5,0,0,0,0,0
id5610,1,1,0,0,0,1,NaN,0,1,1,NaN,1,1,0,NaN,1,1,1,NaN,NaN,1,0.75,NaN,1,NaN
id5612,NaN,1,0,0.25,1,1,1,1,1,1,1,NaN,NaN,0,1,1,1,1,1,NaN,NaN,1,NaN,1,1
id5614,NaN,1,NaN,1,NaN,1,1,1,1,0.666666666666667,1,NaN,NaN,1,1,NaN,1,NaN,1,0.75,0,1,1,NaN,NaN
id5619,0.75,1,0,1,NaN,NaN,1,NaN,0.5,NaN,1,1,1,NaN,NaN,NaN,1,NaN,1,NaN,1,1,NaN,1,1
id5621,1,1,0,0,1,0.75,1,NaN,NaN,1,1,0.8,1,1,1,1,1,1,NaN,1,NaN,1,1,0.714285714285714,1
id5627,NaN,NaN,NaN,1,NaN,1,1,1,NaN,NaN,NaN,1,NaN,1,1,NaN,1,NaN,1,1,NaN,NaN,1,NaN,NaN
