Row,id10968,id10969,id1498,id1516,id1532,id1535,id1536,id1548,id1582,id1590,id1591,id1597,id1606,id1610
id10968,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
id10969,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
id1498,1,NaN,1,NaN,1,NaN,1,NaN,1,1,1,1,1,1
id1516,NaN,1,NaN,NaN,1,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN
id1532,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
id1535,NaN,NaN,NaN,1,NaN,1,NaN,NaN,1,1,1,NaN,1,1
id1536,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN
id1548,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,1,1,1,1,1
id1582,NaN,1,NaN,1,NaN,1,NaN,NaN,1,1,1,1,1,1
id1590,1,NaN,NaN,1,1,1,1,NaN,1,1,1,1,1,1
id1591,NaN,NaN,NaN,1,NaN,1,NaN,NaN,1,1,1,1,1,1
id1597,1,NaN,NaN,1,NaN,1,NaN,NaN,1,1,1,1,1,1
id1606,1,1,NaN,NaN,NaN,NaN,NaN,NaN,1,1,1,1,1,1
id1610,1,1,1,NaN,NaN,NaN,1,NaN,1,1,1,1,1,1
